"county","year","income_bracket","housing_burden","share","source"
"San Francisco","2,024","$20,000 to $35,000","Less than 20% of income","0.08100474125","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$20,000 to $35,000","20% to 24% of income","0.02416019369","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$20,000 to $35,000","25% to 29% of income","0.05089276707","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$20,000 to $35,000","30% to 34% of income","0.0595178049","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$20,000 to $35,000","35% to 39% of income","0.0700595178","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$20,000 to $35,000","40% to 49% of income","0.06314939978","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$20,000 to $35,000","At least 50% of income","0.65121557551","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","Less than 20% of income","0.10261796199","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","20% to 24% of income","0.06485988012","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","25% to 29% of income","0.11081510323","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","30% to 34% of income","0.07833393104","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","35% to 39% of income","0.0348378503","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","40% to 49% of income","0.18136175009","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$35,000 to $50,000","At least 50% of income","0.42717352323","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","Less than 20% of income","0.19228878432","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","20% to 24% of income","0.10260552005","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","25% to 29% of income","0.0895779198","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","30% to 34% of income","0.1061170026","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","35% to 39% of income","0.08838401573","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","40% to 49% of income","0.1572441885","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$50,000 to $75,000","At least 50% of income","0.263782569","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","Less than 20% of income","0.22826806033","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","20% to 24% of income","0.08752315427","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","25% to 29% of income","0.13991796772","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","30% to 34% of income","0.15890447208","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","35% to 39% of income","0.11947605187","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","40% to 49% of income","0.13006086266","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$75,000 to $100,000","At least 50% of income","0.13584943107","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$100,000 or more","Less than 20% of income","0.60087089822","ACS_B25074_B25095_1YR"
