"county","year","household_type","housing_burden","share","source"
"San Francisco","2,013","All","At least 35% of income","0.32627516398","ACS_B25074_B25095_1YR"
"San Mateo","2,013","All","At least 35% of income","0.31991662898","ACS_B25074_B25095_1YR"
"Santa Clara","2,013","All","At least 35% of income","0.31104353967","ACS_B25074_B25095_1YR"
"Solano","2,013","All","At least 35% of income","0.34419424909","ACS_B25074_B25095_1YR"
"Sonoma","2,013","All","At least 35% of income","0.34539677031","ACS_B25074_B25095_1YR"
"Alameda","2,014","All","Less than 20% of income","0.35134536355","ACS_B25074_B25095_1YR"
"Contra Costa","2,014","All","Less than 20% of income","0.35902500348","ACS_B25074_B25095_1YR"
"Marin","2,014","All","Less than 20% of income","0.36866892915","ACS_B25074_B25095_1YR"
"Napa","2,014","All","Less than 20% of income","0.37867032705","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,014","All","Less than 20% of income","0.37937682474","ACS_B25074_B25095_1YR"
"San Mateo","2,014","All","Less than 20% of income","0.38491522275","ACS_B25074_B25095_1YR"
"Santa Clara","2,014","All","Less than 20% of income","0.37774048851","ACS_B25074_B25095_1YR"
"Solano","2,014","All","Less than 20% of income","0.33968778567","ACS_B25074_B25095_1YR"
"Sonoma","2,014","All","Less than 20% of income","0.34550253982","ACS_B25074_B25095_1YR"
"Alameda","2,014","All","20% to 34% of income","0.33094109165","ACS_B25074_B25095_1YR"
"Contra Costa","2,014","All","20% to 34% of income","0.33143096098","ACS_B25074_B25095_1YR"
"Marin","2,014","All","20% to 34% of income","0.30061641057","ACS_B25074_B25095_1YR"
"Napa","2,014","All","20% to 34% of income","0.29446168537","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,014","All","20% to 34% of income","0.30525262719","ACS_B25074_B25095_1YR"
"San Mateo","2,014","All","20% to 34% of income","0.31097775511","ACS_B25074_B25095_1YR"
"Santa Clara","2,014","All","20% to 34% of income","0.31569805514","ACS_B25074_B25095_1YR"
"Solano","2,014","All","20% to 34% of income","0.35332255116","ACS_B25074_B25095_1YR"
"Sonoma","2,014","All","20% to 34% of income","0.32784522454","ACS_B25074_B25095_1YR"
"Alameda","2,014","All","At least 35% of income","0.3177135448","ACS_B25074_B25095_1YR"
